,1star,2star,3star,4star,5star
0,0.616666667,0.733333333,0.616666667,0.666666667,0.583333333
1,0.466666667,0.75,0.533333333,0.583333333,0.616666667
2,0.766666667,0.733333333,0.733333333,0.65,0.633333333
3,0.666666667,0.6,0.75,0.55,0.55
4,0.55,0.666666667,0.716666667,0.666666667,0.516666667
5,0.583333333,0.65,0.7,0.616666667,0.55
6,0.666666667,0.716666667,0.55,0.633333333,0.5
7,0.55,0.683333333,0.766666667,0.616666667,0.7
8,0.55,0.683333333,0.783333333,0.6,0.616666667
9,0.716666667,0.65,0.783333333,0.683333333,0.583333333
10,0.7,0.7,0.733333333,0.8,0.533333333
11,0.65,0.666666667,0.683333333,0.583333333,0.5
12,0.666666667,0.683333333,0.766666667,0.6,0.533333333
13,0.616666667,0.666666667,0.65,0.683333333,0.416666667
14,0.666666667,0.666666667,0.766666667,0.683333333,0.483333333
15,0.55,0.75,0.666666667,0.566666667,0.466666667
16,0.65,0.7,0.733333333,0.716666667,0.55
17,0.783333333,0.666666667,0.65,0.55,0.55
18,0.566666667,0.6,0.616666667,0.633333333,0.566666667
19,0.566666667,0.683333333,0.733333333,0.583333333,0.55
,0.592,0.708,0.675,0.625,0.567
